Date,Year,Quarter,FY,QFY,Month,REV_GRA_14,REV_TAX_14,REV_TAX_IT_14,REV_TAX_IT_IND_14,REV_TAX_IT_COR_14,REV_TAX_IT_UA_14,REV_TAX_GS_14,REV_TAX_GS_GEN_14,REV_TAX_GS_VAT_14,REV_TAX_GS_VAT_REF_14,REV_TAX_GS_EXD_14,REV_TAX_GS_SS_14,REV_TAX_GS_UG_14,REV_TAX_INL_14,REV_TAX_INL_ID_14,REV_TAX_INL_EX_14,REV_TAX_INL_EX_PEMM_14,REV_TAX_OTH_14,GRA_14,GRA_BUD_14,GRA_PRO_14,GRA_GOV_14,REV_OTH_14,REV_OTH_PI_14,REV_OTH_PI_I_14,REV_OTH_PI_DIV_14,REV_OTH_PI_R_14,REV_OTH_GS_14,REV_OTH_GS_MKT_14,REV_OTH_GS_FEE_14,REV_OTH_GS_NMKT_14,REV_OTH_FEE_14,REV_OTH_VT_14,REV_OTH_OTH_14
2020-01-01,2020,Q1,2019/20,Q3,January,1641.33407801854,1449.580298391,467.227514877,269.658095661,193.083299337,4.486119879,811.509740833167,465.902354747331,505.561257991331,-39.658903244,336.258939184836,2.298971621,7.04947528,163.914101835833,163.412022624833,0.502079211,,6.928940845,108.487155545545,11.2045608121815,97.2825947333636,,83.266624082,0.544657585,0.0,0.0,0.544657585,44.961488674,0,44.961488674,0.0,0.777674211,0.0,36.982803612
2020-02-01,2020,Q1,2019/20,Q3,February,1552.60505386631,1329.810961652,380.128877244,255.791127349,118.63858886,5.699161035,785.417132876013,476.814201436678,493.248149891678,-16.433948455,299.595324881334,2.314033507,6.693573051,155.927593761987,155.593179930987,0.334413831,,8.33735777,139.141727452307,44.6192234689867,94.5225039833202,,83.652364762,0.887435909,0.0,0.0,0.887435909,41.269060743,0,41.269060743,0.0,0.913920144,0.0,40.581947966
2020-03-01,2020,Q1,2019/20,Q3,March,1464.77595574738,1295.552059694,417.400596996,268.197663358,144.840977839,4.361955799,740.006496453173,427.447373865316,453.072859819316,-25.625485954,304.530064355856,1.403989903,6.625068329,128.390674761828,128.097147364828,0.293527397,,9.754291483,71.5224308523765,67.2072771320931,4.31515372028336,,97.701465201,1.53959266,0.0,0.0,1.53959266,40.257360696,0,40.257360696,0.0,0.730781342,0.0,55.173730503
2020-04-01,2020,Q2,2019/20,Q4,April,1225.08356016759,931.419157625,356.976075851,242.057795438,114.059295096,0.858985317,510.24480524391,278.361135823768,312.435345154768,-34.074209331,226.557494809142,0.216125995,5.110048616,64.5103403060897,64.2877235890897,0.222616717,,-0.312063776,72.5098944885929,36.1669147015325,36.3429797870603,,221.154508054,0.435788896,0.0,0.0,0.435788896,217.548734204,0,217.548734204,0.0,0.06128058,0.0,3.108704374
2020-05-01,2020,Q2,2019/20,Q4,May,973.431765038753,872.07322962,333.099139521,244.595394703,87.902181786,0.601563032,454.482845275178,266.28677763684,328.86709750284,-62.580319866,183.352455108338,0.141672825,4.701939705,82.114276934822,81.834419373822,0.279857561,,2.376967889,85.8154551027532,82.9214046970965,2.89405040565672,,15.543080316,0.075724651,0.0,0.0,0.075724651,10.277273811,0,10.277273811,0.0,0.196218344,0.0,4.99386351
2020-06-01,2020,Q2,2019/20,Q4,June,1817.59788901013,1532.41528441375,794.443005977,322.992012666,463.771894682,7.679098629,625.560756986834,328.060096450355,354.495200136355,-26.435103686,291.460642417479,0.287654721,5.752363398,106.912050820919,106.537365782919,0.374685038,,5.499470629,23.4544303263817,14.3195884776685,9.13484184871318,,261.72817427,3.414726585,0.0,0.0,3.414726585,239.579838071,0,239.579838071,0.0,0.305303825,0.0,18.428305789
2020-07-01,2020,Q3,2020/21,Q1,July,1384.89925651256,1153.63005597931,351.407356842315,177.178590673,170.704032936315,3.524733233,651.672523249823,388.515738814046,419.460345354046,-30.94460654,255.695882725777,0.72700804,6.73389367,142.969450067177,142.705269384177,0.264180683,,7.58072582,160.270941042243,34.6451150774636,125.62582596478,,70.998259491,1.222658127,0.0,0.0,1.222658127,31.461777405,0,31.461777405,0.0,0.787943825,0.0,37.525880134
2020-08-01,2020,Q3,2020/21,Q1,August,1691.06725315694,1323.6537705781,373.8192790951,217.445854746,150.3297938151,6.043630534,775.859175811002,449.688139464924,485.379586005924,-35.691446541,318.336877654078,0.553668698,7.280489994,166.006021811998,165.714796629998,0.291225182,,7.96929386,290.208915724837,77.8705509803412,212.338364744496,,77.204566854,1.250272087,0.0,0.0,1.250272087,36.676031164,0,36.676031164,0.0,0.979938393,0.0,38.29832521
2020-09-01,2020,Q3,2020/21,Q1,September,1694.80815980311,1422.56710838276,477.222879421757,252.58208145,219.987366052757,4.653431919,766.684765899128,443.101790008585,476.675513145585,-33.573723137,316.416501984544,0.581041279,6.585432627,169.594581665872,169.311518152872,0.283063513,,9.064881396,200.993508375356,117.852530096459,83.140978278897,,71.247543045,1.355504923,0.0,0.0,1.355504923,32.183321776,0,32.183321776,0.0,1.13471902,0.0,36.573997326
2020-10-01,2020,Q4,2020/21,Q2,October,1633.33164614486,1388.1266391306,421.1214899796,251.486719001,164.8122737396,4.822497239,781.848784117984,439.605082830821,473.075651311821,-33.470568481,334.539178043163,0.773747332,6.930775912,176.566784955016,176.239447491016,0.327337464,,8.589580078,172.806604935258,68.557169786578,104.24943514868,,72.398402079,0.617759154,0.0,0.0,0.617759154,34.815799644,0,34.815799644,0.0,0.838343623,0.0,36.126499658
2020-11-01,2020,Q4,2020/21,Q2,November,1622.34528561388,1449.66115693987,500.621220437273,232.755974781,264.613803992273,3.251441664,776.541271859778,448.014394455086,471.517822087086,-23.503427632,320.444306133692,1.036331619,7.046239652,164.281660277821,163.985872683821,0.295787594,,8.217004365,72.2395341220044,31.580735456305,40.6587986656995,,100.444594552,0.520529601,0.0,0.0,0.520529601,32.664887572,0,32.664887572,0.0,0.740888173,0.0,66.518289206
2020-12-01,2020,Q4,2020/21,Q2,December,3128.85522726222,2448.44613583842,1317.10061033942,290.411687921,1013.20353634242,13.485386076,892.497944532642,501.804054492949,531.055708995949,-29.251654503,382.773937881693,0.82347685,7.096475308,199.194031966358,198.744689646358,0.44934232,,39.653549,354.208466418799,32.1585484534069,322.049917965392,,326.200625005,0.940190151,0.0,0.0,0.940190151,35.664473319,0,35.664473319,0.0,0.769986256,0.0,288.825975279
2021-01-01,2021,Q1,2020/21,Q3,January,1504.28204266711,1393.50911085562,467.111750284623,249.32483615,214.275559801623,3.511354333,787.253472852973,415.147585319973,435.424045746973,-20.276460427,363.717776849,1.828308372,6.559802312,132.553456554027,132.283122991027,0.270333563,,6.590431164,54.8962573964891,18.1785209098006,36.7177364866885,,55.876674415,0.20859994,0.0,0.0,0.20859994,24.351181775,0,24.351181775,0.0,0.424533427,0.0,30.892359273
2021-02-01,2021,Q1,2020/21,Q3,February,1579.37730587169,1341.57250983862,378.523997189622,255.523833048,120.131764704622,2.868399437,801.338815356149,457.404342712858,481.423759965858,-24.019417253,335.84577911929,1.782670112,6.306023412,155.470780151851,155.310426167851,0.160353984,,6.238917141,150.010510876067,82.0484256953239,67.9620851807427,,87.794285157,2.087653862,0.0,0.0,2.087653862,35.437662026,0,35.437662026,0.0,0.695053134,0.0,49.573916135
2021-03-01,2021,Q1,2020/21,Q3,March,1857.17621373745,1520.93546798454,474.455189821544,274.894885433,194.453999636544,5.106304752,857.876352060897,488.187644660162,518.689694853162,-30.502050193,360.866620627735,1.334314951,7.487771822,180.074561052103,179.907894597103,0.166666455,,8.52936505,191.801356154904,70.5664866505414,121.234869504363,,144.439389598,1.585487998,0.0,0.0,1.585487998,47.318377032,0,47.318377032,0.0,1.229338908,0.0,94.30618566
2021-04-01,2021,Q2,2020/21,Q4,April,1741.95582227491,1520.43015572366,441.067989062663,276.274045981,162.042199287663,2.751743794,913.237265927601,515.452998492927,542.387599074927,-26.934600582,389.892391193674,1.185880151,6.70599609,157.494276445399,157.373533165399,0.12074328,,8.630624288,121.831432495249,45.5288341759827,76.3025983192663,,99.694234056,0.288649887,0.0,0.0,0.288649887,42.082229215,0,42.082229215,0.0,1.042663568,0.0,56.280691386
2021-05-01,2021,Q2,2020/21,Q4,May,1597.45353753305,1413.45053166823,422.536628881227,266.336006276,152.067166157227,4.133456448,829.263297072114,454.553418295814,488.735217894814,-34.181799599,366.0622563943,1.527964902,7.11965748,153.006617783886,152.882423890886,0.124193893,,8.643987931,31.3962219168251,27.6604240890394,3.7357978277857,,152.606783948,2.180384047,0.0,0.0,2.180384047,39.956050793,0,39.956050793,0.0,0.793815112,0.0,109.676533996
