Year,Month,Total_Tax_Revene,Total grants,other_revenue,Date,Agriculture,Human capital development,General total expenditure,Total Central Gov't spending,Total Local Gov't spending,Core Inflation,Purchasing Managers Index,Composite Economic Activity Index,Exchange_rate,Fiscal Balance,Fiscal_Balance,revenue_growth_rate,expenditure_growth_rate,revenue_expenditure_ratio,tax_share,grant_share,health_expenditure_share,agriculture_expenditure_share,Agriculture_share,Human capital development_share
2010,4,839.930712930866,485.035358386866,3.699177178,2010-04-01,197.176579620567,3.521218181,661.713607744859,451.977189904224,172.739068749,,,81.1350461379602,2083.01275,-175.423968840993,178.21710518600696,14.327834342808043,11.427622826541818,1.2693266438835624,1.0,0.5774706781400776,0.005321362806789517,0.2979787287321339,0.2979787287321339,0.005321362806789517
2010,5,796.0769696604541,443.441103189454,5.990263589,2010-05-01,183.623364288,3.74293601355125,802.473547408811,713.186232541605,61.135536131,,,81.0075125591758,2174.56952380952,-356.716200938356,-6.39657774835689,-5.221114384231528,21.272033401831703,0.9920289238579746,1.0,0.5570329504427094,0.004664248467301134,0.22882170369468288,0.22882170369468288,0.004664248467301134
2010,6,1054.076930373441,570.586696076441,46.626813361,2010-06-01,154.391043081,2.978628634,1052.68916541786,956.32401763185,63.16609227,,,82.6408872009308,2258.5595,-638.990329282419,1.3877649555809057,32.4089215673492,31.18054405867905,1.001318304587119,1.0,0.5413140916330387,0.0028295424061077394,0.14666346738708494,0.14666346738708494,0.0028295424061077394
2010,7,911.053929122969,472.899302049525,8.942639293,2010-07-01,56.9319535719449,2.710165995,478.175080018375,265.767888613046,186.501974285,,,82.1380080618571,2257.28795454545,-6.23411856685061,432.87884910459394,-13.56855435587624,-54.57585242377168,1.905272706992509,1.0,0.5190683964282599,0.005667727383233471,0.11906089620930718,0.11906089620930718,0.005667727383233471
2010,8,1389.177801095361,746.321238177361,5.404926771,2010-08-01,52.547430197,2.003024462,428.689231978216,329.236738962194,71.632451478,,,82.7539227307427,2229.2755,314.746418699145,960.4885691171451,52.48030404003203,-10.348897319838867,3.2405241313967794,1.0,0.5372395366445459,0.004672439409678908,0.12257697716015925,0.12257697716015925,0.004672439409678908
2010,9,920.637817921371,526.811831458371,6.908204969,2010-09-01,228.0958649437,0.686618969905674,672.162315464929,559.355748155188,80.167787875,,,83.0856563842827,2251.30476190476,-145.350484006558,248.4755024564421,-33.727862826813684,56.79477470502108,1.3696659225600496,1.0,0.5722248436934886,0.001021507683647432,0.3393464044260322,0.3393464044260322,0.001021507683647432
2010,10,894.303130632035,520.864205889035,15.964639875,2010-10-01,253.618653246231,2.676484052,995.492210220252,724.699013444465,233.268189891,,,83.8166640425148,2264.82023809524,-541.934328264217,-101.18907958821694,-2.8604828931310666,48.10294884378909,0.898352715823031,1.0,0.5824246701685168,0.002688603712336262,0.2547670897295299,0.2547670897295299,0.002688603712336262
2010,11,837.8220785722381,452.270075070238,5.128766419,2010-11-01,139.078711498458,3.78141807848837,1030.02671609686,904.752509957277,93.632188971,,,85.9518845738443,2289.13571428571,-571.862821692617,-192.20463752462183,-6.315649596337636,3.4690885093884516,0.8133983958659305,1.0,0.5398163722791446,0.0036711844648239004,0.1350243729846902,0.1350243729846902,0.0036711844648239004
2010,12,1242.436561199731,691.141234754731,6.140388421,2010-12-01,70.4267615403833,1.259088672,520.032536996559,403.571866456579,81.698398057,,,85.6594698014557,2303.9302173913,123.540584479172,722.404024203172,48.293604689555394,-49.5127137122085,2.3891515872745326,1.0,0.5562788928936107,0.002421172873666425,0.13542760602467707,0.13542760602467707,0.002421172873666425
2011,1,918.766651102795,465.485080427795,5.458805573,2011-01-01,131.37260846,0.592100171,704.784085873783,435.217395326122,235.688324162,,,86.3933237898167,2333.1355,-282.476925810988,213.98256522901193,-26.051222267991804,35.52692105464288,1.303614354407164,1.0,0.5066412454882571,0.0008401156933983847,0.18640121292909984,0.18640121292909984,0.0008401156933983847
2011,2,784.998024234008,408.645061317008,4.600878471,2011-02-01,193.691296401826,3.640419724,886.284540770354,746.662885793076,101.911080529,,,88.0278728195501,2341.92833333333,-481.685025217347,-101.28651653634608,-14.559586670698666,25.75263240678156,0.8857178345361769,1.0,0.5205682673096651,0.0041075067391289095,0.21854301580559052,0.21854301580559052,0.0041075067391289095
2011,3,870.650209007818,447.573319515818,10.729863574,2011-03-01,205.000348490897,1.072344481,736.641115288141,613.965992199242,77.330712918,,,87.5451382800548,2393.31352380952,-290.261063344323,134.00909371967703,10.911133802838346,-16.884354696308222,1.1819191067922656,1.0,0.5140678941843555,0.0014557217330728911,0.2782906685987926,0.2782906685987926,0.0014557217330728911
2011,4,2730.95509368809,1388.86695063909,4.639498954,2011-04-01,230.235148436986,3.015241554,835.844932410234,627.75851425517,169.59702936,,,90.3196078037121,2367.59026315789,549.600594790854,1895.1101612778562,213.66845897852045,13.467048616107856,3.267298739029422,1.0,0.5085645508595522,0.0036074174013417536,0.27545198817331135,0.27545198817331135,0.0036074174013417536
2011,5,947.350894398751,515.961029944751,6.18026308,2011-05-01,154.867921891015,1.276570839,821.421895760459,700.988131344638,84.16309839,,,87.2764177822862,2387.68404761905,-306.426895173708,125.928998638292,-65.31063815042904,-1.725563688970977,1.15330611381099,1.0,0.5446356075614543,0.0015540988687891882,0.18853639364901612,0.18853639364901612,0.0015540988687891882
2011,6,1246.2922028527628,655.633899923763,14.96294636,2011-06-01,92.0454435977145,2.542559619,699.412440060279,573.424573929567,84.429500037,,,87.9593297270604,2461.03925,-41.6766919695161,546.8797627924838,31.555499680373323,-14.853445754233963,1.7819131194540248,1.0,0.5260675613816864,0.0036352793764732995,0.1316039554426306,0.1316039554426306,0.0036352793764732995
2011,7,904.479803398367,496.871205134367,5.462705402,2011-07-01,49.4635058252627,3.405520371,713.22862320873,420.692429974714,259.346594524,,,89.1893515588004,2587.22857142857,-277.557256827363,191.251180189637,-27.426345015397445,1.9753985427054088,1.2681484925958537,1.0,0.5493447208743546,0.004774794869671624,0.06935154341217031,0.06935154341217031,0.004774794869671624
2011,8,1026.430264838584,534.967535659584,6.142047045,2011-08-01,173.673688623379,2.85804696,862.913090934719,727.386285165926,95.79737875,,,88.3064137798797,2753.23295454545,-395.028877136136,163.517173903865,13.482939141594663,20.986884549385643,1.1894943715904704,1.0,0.5211922855214258,0.003312091321855049,0.2012644036205933,0.2012644036205933,0.003312091321855049
2011,9,1099.463214215558,628.594762385558,4.493461597,2011-09-01,95.7033100047586,0.711644506,530.589032421628,407.52904138988,74.943755082,,,88.5475300605048,2814.01876833079,-10.0093647020698,568.8741817939301,7.11523733065873,-38.511880513147986,2.072155938085579,1.0,0.5717287802430444,0.0013412348588360903,0.18037182104568797,0.18037182104568797,0.0013412348588360903
2011,10,985.9643888250481,521.729347365048,13.920830699,2011-10-01,101.421738309499,4.250085297,709.713773284772,410.973155403825,247.042687529,,,88.5477402133269,2805.36597490669,-191.802535724723,276.25061554027616,-10.323112581032445,33.75960110702101,1.3892422916659826,1.0,0.5291563805735229,0.005988449790581502,0.14290512897909285,0.14290512897909285,0.005988449790581502
2011,11,1130.068351193433,662.049889057433,5.635036544,2011-11-01,57.1714467237133,1.329212722,759.094770059243,641.767387198189,74.30266959,,,89.8302090329288,2582.17727272727,-105.561415402809,370.97358113419,14.615534191869784,6.957874939628228,1.4887052259696607,1.0,0.5858494208410145,0.0017510497693143934,0.07531529524205706,0.07531529524205706,0.0017510497693143934
2011,12,1571.182076104584,901.930732459584,8.287091317,2011-12-01,99.0126952965517,1.94816026711635,571.162247111734,447.781547005482,74.176779021,,,89.5564070338828,2446.915,327.272204383849,1000.01982899285,39.03425172869439,-24.757451949358313,2.7508507154486708,1.0,0.574045965885591,0.0034108701633692533,0.17335301098285347,0.17335301098285347,0.0034108701633692533
2012,1,1066.0614647108828,547.148141959883,8.65371883,2012-01-01,130.357997178323,3.372699595,1223.46580447174,924.391548753266,256.089955366,,,90.8071498588765,2414.1930952381,-673.754085744853,-157.40433976085728,-32.14908183308975,114.2063504124422,0.871345533985872,1.0,0.5132425850401321,0.002756676633439904,0.10654813293666847,0.10654813293666847,0.002756676633439904
2012,2,1663.3080082634078,856.399424378408,12.972624436,2012-02-01,101.892279601832,1.3891416,732.441195046735,604.047332923977,76.7702637916,,,91.531288572136,2327.96928571429,123.962884730673,930.8668132166729,56.02364997917817,-40.1339054700443,2.2709099645293396,1.0,0.5148772326735441,0.001896591302338426,0.139113256177966,0.139113256177966,0.001896591302338426
2012,3,1202.8245169980291,633.739447630029,8.775209971,2012-03-01,72.0319853186982,0.813797732,507.481797261747,368.770111831241,77.641420575,,,92.0468615043642,2485.01976190476,133.235426163282,695.3427197362821,-27.684799747110624,-30.71364627035129,2.370182582879206,1.0,0.5268760643586611,0.0016035998461246535,0.1419400374700451,0.1419400374700451,0.0016035998461246535
2012,4,1022.236153971019,527.899819578019,10.497884133,2012-04-01,67.265830528,4.360569937,877.104313823593,623.37941454381,187.444094792,,,91.791093217075,2506.21263157895,-353.376944336573,145.13184014742603,-15.01369156306498,72.83463536155239,1.1654670235456346,1.0,0.516416698360079,0.004971552263824593,0.07669079887974281,0.07669079887974281,0.004971552263824593
2012,5,1068.013487323484,559.104946873484,9.272896727,2012-05-01,148.555315915335,4.32017750841782,740.93132530212,595.94328127179,85.031142256,,,92.3713714202764,2479.05294603737,-177.436520621636,327.08216202136407,4.478156360899255,-15.525290022557192,1.4414473391147202,1.0,0.5234998935028806,0.0058307394503211716,0.20049809050084436,0.20049809050084436,0.0058307394503211716
2012,6,1657.593113969138,893.003757231138,11.797439465,2012-06-01,75.0339628878354,7.947948073,795.693071837715,661.382299980477,77.886236946,,,94.3966019114152,2484.35761904762,90.0876282984231,861.9000421314229,55.203387751514384,7.390934175075614,2.0832066693012643,1.0,0.538735199673232,0.00998871091669002,0.09430013348556451,0.09430013348556451,0.00998871091669002
2012,7,1088.826240047593,552.526537417593,12.441290989,2012-07-01,62.2561262276053,3.53835538,788.896891892589,602.742939390764,120.982297865023,,,94.5218084284144,2474.18204545455,-252.520283446996,299.92934815500405,-34.312815921370586,-0.8541207892422298,1.3801882745861298,1.0,0.5074515263275082,0.004485193713352542,0.07891541577537572,0.07891541577537572,0.004485193713352542
2012,8,1183.415486543185,642.871822146475,24.391821261,2012-08-01,113.802272785225,2.101249795,945.56713594542,614.218220797438,252.589888984333,,,95.5962476499395,2492.03834634177,-304.664057673945,237.84835059776492,8.687267354197603,19.859406934279345,1.2515404158584187,1.0,0.5432342482050284,0.0022222111102656685,0.12035345609959301,0.12035345609959301,0.0022222111102656685
2012,9,1104.992082057556,581.588288268556,8.036650604,2012-09-01,37.284488263,0.347996996,564.499102666524,401.801683547795,85.1590969347669,,,95.9568019577468,2515.877,17.0891856020318,540.492979391032,-6.626869884448405,-40.30047352458874,1.9574735847017395,1.0,0.5263280142112934,0.0006164704148441811,0.06604879987741219,0.06604879987741219,0.0006164704148441811
2012,10,1156.699790488326,606.716085086326,49.395049885,2012-10-01,46.5051517422618,0.385294982,398.691115014707,319.236903189182,0.0,,,96.8060697284257,2579.42833333333,179.834081265619,758.008675473619,4.6794641581944685,-29.372586576061842,2.9012429595920577,1.0,0.5245233811533653,0.000966399720208932,0.11664456515552475,0.11664456515552475,0.000966399720208932
2012,11,1301.0683381971442,731.667579821144,11.941955952,2012-11-01,108.569412794812,4.596704071,1524.42175382501,1173.14900083637,274.460950328993,,,95.9222704922181,2622.95272727273,-775.528985391864,-223.35341562786584,12.48107321328984,282.3565904569448,0.8534831879252329,1.0,0.5623590693437336,0.0030153755412281134,0.07122006263843621,0.07122006263843621,0.0030153755412281134
2012,12,1876.29342003793,1097.48553387493,15.779463553,2012-12-01,72.1264376334688,0.698320034,988.379784709897,737.540321782447,180.82632166,,,99.3697888297684,2673.47706169355,103.086630559033,887.913635328033,44.21175006363309,-35.16362632388975,1.898352686956915,1.0,0.5849221247350236,0.0007065300654696884,0.07297441605874092,0.07297441605874092,0.0007065300654696884
2013,1,1324.074826457061,689.160015207061,14.375159962,2013-01-01,83.9125394935848,1.362782117,395.212666508595,319.977650862035,0.0,,,98.0115115869733,2683.78928571429,293.943154699466,928.8621599484659,-29.431355868087294,-60.01408844833917,3.350284387781041,1.0,0.5204841912530764,0.003448224797649198,0.21232249521476276,0.21232249521476276,0.003448224797649198
2013,2,1217.164978259433,630.580973202433,9.873068643,2013-02-01,118.524148270303,4.321273588,1226.88311301052,851.749107716129,305.459211839333,,,100.079866571548,2657.54930301252,-598.200812295089,-9.718134751087064,-8.074305625437784,210.43618208118286,0.9920790052059314,1.0,0.5180735434108322,0.0035221558942126765,0.0966059007687122,0.0966059007687122,0.0035221558942126765
2013,3,1208.01759696942,630.68827014542,7.027239048,2013-03-01,64.6299942899791,0.901574225,728.872516095943,469.523015970038,182.675260865496,,,99.3892261899133,2636.89157894737,-98.5753046885227,479.1450808734771,-0.751531752342538,-40.59152755738572,1.657378444504836,1.0,0.5220853336306038,0.0012369436425303817,0.08867119127519923,0.08867119127519923,0.0012369436425303817
