Date,Year,Quarter,FY,QFY,Month,EXP_AGRO,EXP_MID,EXP_SPD,EXP_MAN,EXP_TOD,EXP_NECLW,EXP_PSD,EXP_SED,EXP_ITIS,EXP_SUD,EXP_DIT,EXP_HCD,EXP_TTD,EXP_PST,EXP_CMC,EXP_GOS,EXP_DPI,EXP_RBD,EXP_LGOV,EXP_I,EXP_I_DOM,EXP_I_EXT,EXP_CEN_TOT,EXP_LGP_TOT,EXP_I_TOT,EXP
2022-07-01,2022,Q3,2022/23,Q1,July,46.3436826064828,1.03581484753974,93.7563818436667,0.174355223666667,0.389730646333333,2.24860302838291,121.773488510826,13.9944459179515,124.931883267834,0.899141082,0.15771811,378.347117208908,0.582337826333333,4.227128737,1.710363103,326.355983646833,58.0974059073504,35.3184417055,0.0,643.8119917823,451.544043742,192.2679480403,1026.62332507238,322.049911900035,643.8119917823,1992.48522875471
2022-08-01,2022,Q3,2022/23,Q1,August,51.9409747705777,2.9709901089371,2.45024234266667,4.63013403466667,15.8601903713333,12.9291186388979,93.2356155288842,111.709924334352,271.611031743682,10.997212197,2.640046802,556.852143950875,1.72341819533333,18.59391065,4.519331002,782.743770143833,132.221673848924,36.7697056235,0.0,218.663042508577,172.878968525,45.7840739835774,2018.98681496176,322.049911900035,218.663042508577,2559.69976937037
2022-09-01,2022,Q3,2022/23,Q1,September,74.5620913231612,0.0032885586666666,2.46947509666667,0.740369238666667,0.679933666333333,14.7394554656326,61.7888292254261,140.164123356744,126.237746961394,4.584947867,4.453073012,752.316923801757,47.4768491073333,11.910715738,1.22847927,390.500108040833,69.3458855176667,37.4439035915,0.0,644.482130621422,488.417399407,156.064731214422,1394.66374139131,322.049911900035,644.482130621422,2361.19578391277
2022-10-01,2022,Q4,2022/23,Q2,October,70.0075955242654,2.45432136336862,609.083623246,108.964467436333,1.77866742966667,22.883056253495,247.630853772823,144.398243541638,485.469102786238,10.190489638,9.53921533,758.602730148354,27.9739903551168,17.716528034,7.769035058,996.410165967327,81.7615404051446,37.3037692745,0.0,349.275783309803,307.607459804,41.6683235058028,3525.37316803379,428.080641226625,349.275783309803,4302.72959257022
2022-11-01,2022,Q4,2022/23,Q2,November,137.977282422022,4.791612551,7.740232235,1.09246875633333,18.9127679226667,23.316230438,154.347869336333,42.1665640790616,437.470559750603,11.495574936,4.467096529,732.650880074152,1.88771043766667,20.147133323,6.402769467,413.721466767833,141.329771879,40.3508570905,0.55151105,657.271394473805,617.659671279,39.611723194805,1892.06123748383,428.080641226625,657.271394473805,2977.41327318426
2022-12-01,2022,Q4,2022/23,Q2,December,86.3650601982352,9.7518838767808,-221.741375552,301.183440176333,5.05191712066667,54.5158963554891,53.4695438950484,49.4539645848611,472.893463340246,10.785318749,7.365256082,770.498436973696,3.89868767466667,12.292773177,1.706500488,420.94228064564,97.020411498,38.5709932565,1.424880703,343.085106990391,242.239103851,100.846003139391,1653.5131566786,428.080641226625,343.085106990391,2424.67890489561
2023-01-01,2023,Q1,2022/23,Q3,January,48.2210092956797,3.719729391,21.002240656,9.22800680516667,17.0990055355,20.8300222337075,65.336373849,15.2878060717855,546.26746096814,5.285540068,4.360019069,505.349839650806,1.53702792966667,18.674113674,4.73649988333333,890.8570416785,131.593833103833,42.171171878501,0.001298,641.530723838316,448.202271495,193.328452343316,1991.8903910604,567.280499804072,641.530723838316,3200.70161470279
2023-02-01,2023,Q1,2022/23,Q3,February,122.444314195421,3.445987844,106.142708532,16.8719480331667,2.9807756795,21.7383309986667,26.1145211519826,113.453398935252,286.584356132069,5.248441306,18.001350159,593.73995298055,28.5931321366667,19.437729288,7.09794153233333,373.3770328095,91.5506800975501,44.602206163501,2.454680523,243.547325674237,178.1401870615,65.4071386127367,1615.39770936249,567.280499804072,243.547325674237,2426.22553484079
2023-03-01,2023,Q1,2022/23,Q3,March,246.949426302088,13.1547736990563,11.715088636,9.57399483416667,4.2973013475,69.4441094622207,262.857966778,33.3423748082903,278.825249671887,12.814722613,1.375412616,691.030043751756,45.2170203699896,15.086276316,2.28870596833333,296.2616515285,107.443189736737,43.066576723501,3.047581825,752.047796679316,561.1494585545,190.898338124816,1649.78650390733,567.280499804072,752.047796679316,2969.11480039072
2023-04-01,2023,Q2,2022/23,Q4,April,63.9954851890493,2.870365464,18.224203847,1.90194120116667,16.5056625965,13.0508086702145,35.461160347,27.3480891109752,228.933052036224,11.282311045,5.766810786,448.97946991599,0.874520070666667,12.933396402,4.17250423833333,880.5789821295,88.1009775598333,46.6659807206675,10.169406585,360.127255779523,320.44294768,39.6843080995229,1644.14050901516,586.03136979413,360.127255779523,2590.29913458881
2023-05-01,2023,Q2,2022/23,Q4,May,161.011138658394,7.90048286001759,9.528104656,10.6373216351667,7.9968489915,39.8906586844596,544.573821663785,110.387491471781,558.172652036081,2.228531735,11.116588673,734.815175629693,25.9364360296667,23.679159981,8.61671156433333,552.2091317945,141.927092412833,51.1106793486675,-9.797312539,581.41770179738,542.207586252,39.2101155453797,2683.59023201792,586.03136979413,581.41770179738,3851.03930360943
2023-06-01,2023,Q2,2022/23,Q4,June,213.817069180313,18.417299289,170.363294615,41.8721644481667,14.3445550395,87.5084843481974,151.126448061962,82.9098298794988,484.296143484329,22.254203755,20.103994928,846.445219100762,83.0746549076667,34.360169273,9.73513603433333,1081.38966779779,172.734572915833,75.2909344996675,51.150580185,476.472521965931,380.84367777,95.6288441959306,3043.17092244729,586.03136979413,476.472521965931,4105.67481420735
